,player_0,player_1,player_2,player_3,player_4,level_0,level_1,level_2,level_3,level_4,level_5,age,duration_ms,# tries,target
7027,0.022000000000000002,0.012538461538461543,1.8173076923076925e-06,0.0036807692307692305,2.1715294117647055,0.002048076923076923,0.3672976858039065,,0.5631578947368421,5.0,1.0,21.0,218386.5,4,5
12151,0.018384615384615385,0.012692307692307694,0.03257692307692307,0.006807692307692307,2.1553823529411766,0.0013846153846153847,0.5231029240894082,0.0175,0.37894736842105264,5.0,1.0,24.0,435573.0,2,9
11628,0.00836923076923077,0.01889423076923077,0.035557692307692304,0.011551923076923078,2.1398088235294117,,0.43868804048809834,0.005692307692307693,0.3815789473684211,,1.0,21.0,237896.5,8,7
11587,0.021371794871794872,0.01155128205128205,0.00015411564102564099,0.012461538461538461,2.231509803921569,0.0021064102564102563,0.3440998485982711,0.014897435897435899,0.45263157894736844,2.0,1.0,24.0,293173.33333333326,3,4
6431,0.0275,0.02145054945054945,2.7226373626373624e-05,0.008714285714285714,2.006831932773109,0.005521978021978023,0.5209706593815382,,0.712781954887218,10.0,0.0,18.0,187228.42857142846,7,1
10224,0.025807692307692306,0.01996153846153846,1.4153846153846155e-05,0.011923076923076923,2.0930882352941174,0.0014461538461538461,0.3560711480966093,0.03611538461538461,0.5894736842105263,1.0,1.0,24.0,197333.0,2,9
1743,0.023096153846153846,0.020711538461538462,0.0016462436538461538,0.007038461538461539,2.01975,0.008976923076923077,0.5376935194242753,0.016826923076923076,0.6263157894736842,3.0,0.0,,226944.0,4,9
2411,0.03169230769230769,0.021346153846153848,3.2576923076923075e-06,0.0043076923076923075,2.0679117647058822,0.006384615384615385,0.4573097642633747,0.028,,1.0,1.0,15.0,215640.0,2,3
5066,0.03157692307692307,0.031076923076923075,6.961538461538461e-08,0.017192307692307694,1.9593823529411765,0.0020923076923076924,0.5619560674740405,0.03707692307692308,0.6105263157894737,8.0,1.0,17.0,223173.0,2,8
10784,0.017173076923076923,0.03217307692307692,0.0016211538461538462,0.004634615384615385,2.010926470588235,0.007178846153846155,0.7016597548486059,0.025461538461538466,,2.0,1.0,14.0,203780.0,4,1
7807,0.016865384615384615,0.00676923076923077,1.625e-06,0.003588461538461538,2.106816176470588,0.0020721153846153845,0.4591444960343157,0.010673076923076924,0.37894736842105264,,1.0,28.0,216809.75,4,7
954,0.021269230769230766,0.022000000000000002,4.692307692307692e-08,0.0029076923076923077,1.9313529411764705,0.001396153846153846,0.918550768566613,0.03438461538461539,0.7052631578947368,7.0,0.0,20.0,209587.0,2,8
8258,0.02015384615384615,0.023807692307692304,7.543956043956044e-08,0.009256593406593404,2.0191218487394957,,0.5634171608600178,0.029912087912087913,0.4195488721804511,7.0,0.0,23.0,170459.85714285713,14,3
6221,0.01812820512820513,0.016064102564102564,0.0003,0.009564102564102565,2.0597352941176474,0.0014743589743589742,,0.021076923076923073,0.07719298245614034,5.0,0.0,25.0,325342.0,6,9
2962,0.019730769230769232,0.018615384615384614,0.011653846153846154,0.0037076923076923077,2.054441176470588,0.0011076923076923076,0.3476116338986787,0.020615384615384615,0.11578947368421053,2.0,0.0,,466773.0,2,9
4830,0.02478846153846154,0.0029692307692307696,0.0,0.00573076923076923,2.3245735294117646,0.018942307692307696,0.666875628608038,0.019769230769230768,0.0,1.0,1.0,26.0,243393.0,4,8
3781,0.011841346153846159,0.01578365384615385,0.021403134615384616,0.005010576923076921,2.1256102941176467,0.0016442307692307694,0.52047654804058,0.014596634615384612,0.38552631578947366,9.0,1.0,25.0,185118.375,16,7
8570,0.01623076923076923,0.03626923076923077,2.6269230769230767e-06,0.0040384615384615385,1.8930882352941174,0.0036692307692307692,0.7612827966915126,0.0325,0.631578947368421,10.0,1.0,15.0,182133.0,2,4
9085,0.02023981900452489,0.028020361990950225,1.1969864253393667e-05,0.004987782805429866,1.9574896193771627,0.0014228506787330314,0.5692109775393605,0.019653846153846154,0.6247678018575852,10.0,1.0,16.0,248061.82352941172,17,3
259,0.01826799007444169,0.02099379652605459,0.02341699379652605,0.007556203473945406,2.0610863377609108,0.001493672456575682,0.566628340928111,,0.45942275042444825,8.0,,20.0,262343.0322580645,31,3
2637,0.0073461538461538495,0.038125,0.01774038461538462,0.008567307692307692,1.9095514705882355,,0.6712534960940192,0.0038451923076923073,0.3447368421052632,4.0,1.0,14.0,259086.5,8,3
12405,0.035500000000000004,0.029538461538461538,0.0,0.00265,1.980029411764706,0.0025923076923076924,0.431761296574402,0.03692307692307692,0.6421052631578947,1.0,1.0,,123960.0,2,8
10506,0.026442307692307692,0.027000000000000003,0.0,0.004261538461538462,1.9644558823529412,0.011076923076923078,0.443639979241583,0.01846153846153846,0.37894736842105264,1.0,1.0,14.0,246733.5,4,1
2154,0.006423076923076922,0.0007692307692307692,0.0356923076923077,0.0027461538461538465,2.6951176470588236,0.0015884615384615386,0.596648342311808,0.0016576923076923077,0.49473684210526314,7.0,1.0,,165307.0,1,4
2957,0.015076923076923078,0.018038461538461538,0.0,0.03465384615384615,1.9601764705882354,0.0018384615384615386,0.7809022563297097,0.009653846153846153,0.5473684210526316,0.0,0.0,24.0,238293.0,2,9
3490,0.02623076923076923,0.025673076923076927,0.012227884615384616,0.0036134615384615385,1.990845588235294,0.0015009615384615383,0.4752667135108821,0.017807692307692306,0.4342105263157895,7.0,1.0,,286094.25,8,9
3358,0.026294871794871798,0.023487179487179488,5.0641025641025644e-05,0.019358974358974358,1.9419607843137257,,,0.025717948717948722,0.6105263157894737,8.0,1.0,22.0,190831.66666666663,3,9
4491,0.02794871794871795,0.025358974358974353,1.0746153846153846e-05,0.004987179487179487,2.017441176470588,0.007578205128205127,0.589698252833233,0.02596153846153846,0.4666666666666668,11.0,1.0,14.0,270075.66666666674,6,9
4235,0.021365384615384616,0.021499038461538462,2.7880134615384612e-05,0.0070792307692307726,2.046246323529412,0.0012541346153846149,0.5423399374491946,,0.35526315789473684,5.0,1.0,,226035.75,40,8
4361,0.017993589743589743,0.034096153846153845,7.270320512820511e-05,0.008437179487179487,1.8764068627450978,0.0016826923076923074,0.52954323828244,0.01330128205128205,0.5526315789473685,,1.0,14.0,254407.66666666663,12,2
